company,url
Amazon,https://www.amazon.jobs/en/search?offset=0&result_limit=10&sort=recent&job_type%5B%5D=Full-Time&country%5B%5D=USA&industry_experience=one_to_three_years&latitude=&longitude=&loc_group_id=&loc_query=&base_query=Software%20Engineer&city=&country=&region=&county=&query_options=&
Amazon_New_Grad,https://www.amazon.jobs/en/search?offset=0&result_limit=50&sort=recent&job_type%5B%5D=Full-Time&country%5B%5D=USA&industry_experience=less_than_1_year&latitude=&longitude=&loc_group_id=&loc_query=&base_query=Software%20Engineer&city=&country=&region=&county=&query_options=&
microsoft,https://apply.careers.microsoft.com/careers?query=Engineer&start=0&location=United+States&pid=1970393556621451&sort_by=timestamp&filter_include_remote=1&filter_career_discipline=Software+Engineering%2CApplied+Sciences
meta,https://www.metacareers.com/jobsearch?q=Software&sort_by_new=true&offices[0]=North%20America&roles[0]=Full%20time%20employment
apple,https://jobs.apple.com/en-us/search?sort=newest&location=united-states-USA
nvidia,https://nvidia.eightfold.ai/careers?query=Engineer&start=0&location=United+States&pid=893392900968&sort_by=timestamp&filter_include_remote=1&filter_job_category=engineering
oracle,https://careers.oracle.com/en/sites/jobsearch/jobs?keyword=Software&lastSelectedFacet=AttributeChar12&location=United+States&locationId=300000000149325&mode=location&selectedFlexFieldsFacets=%22AttributeChar29%7CIndividual+Contributor%7C%7CAttributeChar12%7CLess+than+10+applicants%22&selectedLocationsFacet=300000000149325&selectedPostingDatesFacet=7&sortBy=POSTING_DATES_DESC
salesforce,https://careers.salesforce.com/en/jobs/?search=engineer&country=United+States+of+America&team=Software+Engineering&team=Operations&type=Full+time&jobtype=New+Grads&jobtype=Regular&pagesize=150#results
accenture,https://www.accenture.com/us-en/careers/jobsearch?jk=engineer&sb=1&aoi=Cloud%7CSoftware%20Engineering%7CTechnology%7CEngineering%20%26%20Manufacturing&et=Full-time&jt=Early%20Career%7CMid-Level
kpmg,https://www.kpmguscareers.com/job-search/?keyword=engineer&location=&radius=50&career-level=&career-level-parents=Early%20Career%7CExperienced%7C&order=posted&practice-areas=&practice-areas-parents=&spage=1
